week_start,anomaly_direction,anomaly_score,commit_event_count,cm_total,cm_breaking_count,cm_feat_count,cm_fix_count,cm_chore_count,cm_docs_count,cm_style_count,cm_refactor_count,cm_test_count,cm_build_count,cm_ci_count,cm_perf_count,cm_revert_count,cm_bump_count,cm_wip_count,cm_other_count,cat_feature_work_count,cat_bug_fixes_count,cat_tech_debt_count,cat_docs_count,cat_other_count,cat_feature_work_ratio,cat_bug_fixes_ratio,cat_tech_debt_ratio,cat_docs_ratio,cat_other_ratio,dominant_category,dominant_type,top_scopes
2015-05-11,high,1.3571428571428572,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0,docs,docs,['readme']
2015-06-08,high,1.0,19,19,0,1,2,6,2,4,0,4,0,0,0,0,0,0,0,1,2,14,2,0,0.05263157894736842,0.10526315789473684,0.7368421052631579,0.10526315789473684,0.0,tech_debt,chore,"['tests', 'npm-info', 'package']"
2015-07-20,high,0.6,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0,docs,docs,['readme']
2015-08-17,high,2.590909090909091,11,10,0,3,2,2,3,0,0,0,0,0,0,0,0,0,0,3,2,2,3,0,0.3,0.2,0.2,0.3,0.0,feature_work,feat,"['readme', 'getlastrelease', 'git']"
2016-11-14,high,28.0,51,51,0,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0,1,50,0,0,0.0,0.0196078431372549,0.9803921568627451,0.0,0.0,tech_debt,chore,['package']
2016-11-28,high,1.5,12,11,0,0,2,2,4,0,0,1,0,0,0,0,0,0,2,0,2,3,4,2,0.0,0.18181818181818182,0.2727272727272727,0.36363636363636365,0.18181818181818182,docs,docs,"['package', 'readme', 'readme.md']"
2017-03-06,high,0.5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,tech_debt,chore,['package']
2017-08-14,high,7.5,11,11,0,1,7,2,0,0,0,0,0,0,0,0,0,0,1,1,7,2,0,1,0.09090909090909091,0.6363636363636364,0.18181818181818182,0.0,0.09090909090909091,bug_fixes,fix,"['package', 'post', 'bin']"
2017-09-18,high,9.5,11,10,0,0,5,2,1,0,0,0,0,0,0,0,0,0,2,0,5,2,1,2,0.0,0.5,0.2,0.1,0.2,bug_fixes,fix,['package']
2017-09-25,high,12.928571428571429,13,13,0,0,1,8,0,0,1,0,0,3,0,0,0,0,0,0,1,12,0,0,0.0,0.07692307692307693,0.9230769230769231,0.0,0.0,tech_debt,chore,"['package', 'travis', 'codecov']"
2017-10-02,high,6.0,7,6,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,bug_fixes,fix,[]
2017-10-09,high,1.0,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,feature_work,feat,['commits']
2017-10-23,high,11.5,16,16,0,2,8,4,0,0,0,1,0,0,0,0,0,0,1,2,8,5,0,1,0.125,0.5,0.3125,0.0,0.0625,bug_fixes,fix,"['package', 'api', 'code_of_conduct']"
2017-10-30,high,2.5,3,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,feature_work,feat,['package']
2017-11-20,high,2.9545454545454546,17,17,0,5,4,1,1,0,1,1,0,2,0,0,0,0,2,5,4,5,1,2,0.29411764705882354,0.23529411764705882,0.29411764705882354,0.058823529411764705,0.11764705882352941,feature_work,feat,"['package', 'readme', 'plugins']"
2017-12-11,high,0.44871794871794873,10,10,0,1,1,3,1,0,0,2,0,0,0,0,0,0,2,1,1,5,1,2,0.1,0.1,0.5,0.1,0.2,tech_debt,chore,"['package', 'gitlab']"
2018-11-26,high,0.6578947368421053,19,16,0,2,4,1,4,0,0,1,0,0,0,0,0,0,4,2,4,2,4,4,0.125,0.25,0.125,0.25,0.25,bug_fixes,other,"['package', 'configuration.md']"
2018-12-10,high,0.75,25,22,0,2,5,2,9,0,1,1,1,0,0,0,0,0,1,2,5,5,9,1,0.09090909090909091,0.22727272727272727,0.22727272727272727,0.4090909090909091,0.045454545454545456,docs,docs,"['package', 'workflow-configuration']"
2021-01-18,high,4.5,32,31,0,0,6,10,1,1,0,1,1,2,0,0,0,0,9,0,6,15,1,9,0.0,0.1935483870967742,0.4838709677419355,0.03225806451612903,0.2903225806451613,tech_debt,chore,"['deps', 'integration', 'package']"
2021-02-08,high,0.16666666666666666,6,6,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,bug_fixes,docs,"['deps', 'discussions']"
