log_name,discovery_method,n_cases,avg_cycle_time_days,avg_trace_length,generalization,fitness,precision,f_score,size,cfc,simplicity,status,error
bug_fixes,heuristics_dep_0.5,309,332.68988628191295,20.084142394822006,0.5767834301726715,0.905936614431253,0.23905572986702528,0.37828958360215426,530.0,30.0,0.4501108647450111,ok,
docs,heuristics_dep_0.5,202,225.1257220617895,16.113861386138613,0.574742514069269,0.9031701394237688,0.504244918960638,0.6471707845504918,404.0,21.0,0.4803625377643504,ok,
feature_work,heuristics_dep_0.5,59,717.4007723242311,17.10169491525424,0.4732631902373996,0.8702965078603746,0.48351648351648346,0.6216555902146547,482.0,32.0,0.43540669856459335,ok,
other,heuristics_dep_0.5,1458,559.821202282744,14.51440329218107,0.5528557110393411,0.9099549304379784,0.32650244861570776,0.4805705687086785,936.0,47.0,0.42857142857142855,ok,
tech_debt,heuristics_dep_0.5,1169,154.0620870461458,11.388366124893071,0.572788280730864,0.9348067822585368,0.6456265301580235,0.7637602351913599,436.0,17.0,0.5043227665706053,ok,
whole,heuristics_dep_0.5,3197,371.2609036502682,14.05849233656553,0.5855012866656844,0.9109673408219954,0.38952523049848886,0.5457082512205105,978.0,54.0,0.4292397660818713,ok,
bug_fixes,inductive_IMf_noise_0.2,309,332.68988628191295,20.084142394822006,0.74272111183379,0.9426421841567045,0.2764648753641955,0.42753825748221513,296.0,7.0,0.6435643564356437,ok,
docs,inductive_IMf_noise_0.2,202,225.1257220617895,16.113861386138613,0.8165181825530851,0.9693367460129776,0.4231376131550536,0.5891136656857076,188.0,4.0,0.6307692307692307,ok,
feature_work,inductive_IMf_noise_0.2,59,717.4007723242311,17.10169491525424,0.8038611896937431,0.9819576300817705,0.21998781230956732,0.3594484461667324,144.0,3.0,0.607843137254902,ok,
other,inductive_IMf_noise_0.2,1458,559.821202282744,14.51440329218107,0.7232826159830699,0.9796332842449039,0.1773766572803004,0.30036747496019356,507.0,8.0,0.6134453781512605,ok,
tech_debt,inductive_IMf_noise_0.2,1169,154.0620870461458,11.388366124893071,0.8517331949860556,0.9941880935725887,0.18554744309638493,0.3127295109548339,225.0,4.0,0.610062893081761,ok,
whole,inductive_IMf_noise_0.2,3197,371.2609036502682,14.05849233656553,0.8066451691885081,0.9893211132221245,0.15917434110818807,0.2742275308932314,581.0,15.0,0.6277915632754342,ok,
bug_fixes,split_miner_eps_0.2_eta_0.5,309,332.68988628191295,20.084142394822006,0.6902430260103685,0.7867070934270909,0.3389261744966443,0.4737522125948455,455.0,109.0,0.3529411764705882,ok,
docs,split_miner_eps_0.2_eta_0.5,202,225.1257220617895,16.113861386138613,0.7630354571672451,0.8781390630906699,0.7598870056497176,0.814744619674031,276.0,30.0,0.48444444444444446,ok,
feature_work,split_miner_eps_0.2_eta_0.5,59,717.4007723242311,17.10169491525424,0.6323718352051473,0.8104233129928504,0.3281121187139324,0.4671083619815367,337.0,63.0,0.38216560509554137,ok,
other,split_miner_eps_0.2_eta_0.5,1458,559.821202282744,14.51440329218107,0.7283622180844134,0.7038271963612044,0.3491419819694386,0.46674798723193145,751.0,191.0,0.32198952879581155,ok,
tech_debt,split_miner_eps_0.2_eta_0.5,1169,154.0620870461458,11.388366124893071,0.7611716725916907,0.7831013831683542,0.4148453172843417,0.5423712785276977,430.0,103.0,0.3411764705882353,ok,
whole,split_miner_eps_0.2_eta_0.5,3197,371.2609036502682,14.05849233656553,0.7637128737996133,0.6555304730483003,0.3096737470387102,0.4206375680135867,915.0,256.0,0.3001038421599169,ok,
