week_start,value,rolling_q1,rolling_q3,iqr,lower_bound,upper_bound,is_anomaly,anomaly_direction,anomaly_score
2015-02-02,6,,,,,,False,normal,0.0
2015-02-09,2,,,,,,False,normal,0.0
2015-02-16,1,,,,,,False,normal,0.0
2015-03-02,0,,,,,,False,normal,0.0
2015-03-09,1,,,,,,False,normal,0.0
2015-03-16,2,,,,,,False,normal,0.0
2015-03-30,0,,,,,,False,normal,0.0
2015-04-20,2,,,,,,False,normal,0.0
2015-04-27,0,0.75,2.0,1.25,-1.125,3.875,False,normal,0.0
2015-05-04,2,0.0,2.0,2.0,-3.0,5.0,False,normal,0.0
2015-05-11,7,0.25,2.0,1.75,-2.375,4.625,True,high,1.3571428571428572
2015-05-18,0,0.5,2.0,1.5,-1.75,4.25,False,normal,0.0
2015-05-25,3,0.0,2.0,2.0,-3.0,5.0,False,normal,0.0
2015-06-01,0,0.0,2.0,2.0,-3.0,5.0,False,normal,0.0
2015-06-08,7,0.0,2.0,2.0,-3.0,5.0,True,high,1.0
2015-06-15,1,0.0,2.5,2.5,-3.75,6.25,False,normal,0.0
2015-06-22,1,0.0,2.25,2.25,-3.375,5.625,False,normal,0.0
2015-07-13,4,0.0,2.0,2.0,-3.0,5.0,False,normal,0.0
2015-07-20,8,0.25,2.75,2.5,-3.5,6.5,True,high,0.6
2015-07-27,0,0.5,3.5,3.0,-4.0,8.0,False,normal,0.0
2015-08-03,0,0.0,3.25,3.25,-4.875,8.125,False,normal,0.0
2015-08-10,1,0.0,3.0,3.0,-4.5,7.5,False,normal,0.0
2015-08-17,14,0.0,2.75,2.75,-4.125,6.875,True,high,2.590909090909091
2015-08-24,4,0.0,3.5,3.5,-5.25,8.75,False,normal,0.0
2015-08-31,2,0.0,4.0,4.0,-6.0,10.0,False,normal,0.0
2015-09-07,3,0.0,4.0,4.0,-6.0,10.0,False,normal,0.0
2015-09-14,5,0.25,3.75,3.5,-5.0,9.0,False,normal,0.0
2015-09-21,6,0.5,4.0,3.5,-4.75,9.25,False,normal,0.0
2015-09-28,8,0.75,4.25,3.5,-4.5,9.5,False,normal,0.0
2015-10-05,5,1.0,5.0,4.0,-5.0,11.0,False,normal,0.0
2015-10-12,1,1.0,5.0,4.0,-5.0,11.0,False,normal,0.0
2015-10-19,4,1.0,4.75,3.75,-4.625,10.375,False,normal,0.0
2015-10-26,3,1.0,4.75,3.75,-4.625,10.375,False,normal,0.0
2015-11-02,6,1.0,4.75,3.75,-4.625,10.375,False,normal,0.0
2015-11-09,1,1.0,5.0,4.0,-5.0,11.0,False,normal,0.0
2015-11-16,2,1.0,5.0,4.0,-5.0,11.0,False,normal,0.0
2015-11-23,5,1.0,5.0,4.0,-5.0,11.0,False,normal,0.0
2015-11-30,3,1.0,5.0,4.0,-5.0,11.0,False,normal,0.0
2015-12-07,3,1.0,5.0,4.0,-5.0,11.0,False,normal,0.0
2015-12-14,1,1.0,5.0,4.0,-5.0,11.0,False,normal,0.0
2015-12-21,6,1.0,5.0,4.0,-5.0,11.0,False,normal,0.0
2015-12-28,8,1.0,5.0,4.0,-5.0,11.0,False,normal,0.0
2016-01-04,6,1.0,5.75,4.75,-6.125,12.875,False,normal,0.0
2016-01-11,5,1.0,6.0,5.0,-6.5,13.5,False,normal,0.0
2016-01-18,3,1.25,6.0,4.75,-5.875,13.125,False,normal,0.0
2016-01-25,4,1.25,5.75,4.5,-5.5,12.5,False,normal,0.0
2016-02-01,5,2.0,5.75,3.75,-3.625,11.375,False,normal,0.0
2016-02-08,1,2.25,5.75,3.5,-3.0,11.0,False,normal,0.0
2016-02-15,1,2.0,5.75,3.75,-3.625,11.375,False,normal,0.0
2016-02-29,0,1.25,5.0,3.75,-4.375,10.625,False,normal,0.0
2016-03-07,1,1.25,5.0,3.75,-4.375,10.625,False,normal,0.0
2016-03-14,6,1.25,5.0,3.75,-4.375,10.625,False,normal,0.0
2016-03-21,0,2.0,5.75,3.75,-3.625,11.375,False,normal,0.0
2016-03-28,1,1.25,5.0,3.75,-4.375,10.625,False,normal,0.0
2016-04-04,0,1.0,5.0,4.0,-5.0,11.0,False,normal,0.0
