week_start,event_id
2026-06-22,83979
2017-10-16,84317
2026-07-27,85903
2026-07-27,94887
2020-09-07,96476
2026-07-20,104256
2016-10-10,105611
2019-01-28,111290
2016-08-08,119757
2016-02-15,122142
2015-02-23,141034
2015-02-16,141325
2015-02-02,142118
2015-02-02,142237
2015-02-02,142952
2019-11-04,144692
2014-07-28,144856
2015-02-23,145651
2020-09-21,92930
2016-10-10,104144
2019-11-04,106760
2019-11-04,109201
2016-08-08,112017
2019-11-04,114613
2016-02-15,121353
2016-02-08,122385
2016-02-15,127469
2015-02-23,140547
2019-07-29,63813
2019-02-11,67912
2019-01-28,68090
2019-01-28,73329
2018-06-25,74482
2018-06-25,74557
2018-06-25,77272
2018-06-25,77498
2024-10-14,78823
2017-10-16,84391
2020-09-21,97174
2020-09-21,97228
2020-09-21,97911
2019-11-04,102893
2016-10-10,104575
2025-09-01,110075
2016-08-08,118000
2016-02-15,123337
2019-11-04,135365
2026-05-25,1346
2026-06-08,2358
2026-06-22,7123
2024-01-01,9993
2024-01-01,10983
2023-04-24,12135
2026-07-20,13278
2023-02-20,13314
2023-01-30,13832
2025-04-07,14628
2023-02-13,16905
2023-02-13,17689
2022-05-09,19557
2023-02-20,20701
2021-12-27,24276
2021-11-22,25103
2026-07-27,30942
2023-02-20,35503
2023-02-20,35517
2026-06-22,36299
2020-09-21,41715
2020-09-21,46612
2017-10-16,84797
2016-10-10,104505
2016-10-10,104599
2016-10-10,104867
2016-10-10,105745
2016-10-10,106226
2016-08-08,109029
2016-10-10,112227
2016-08-08,113651
2016-02-08,125404
2016-02-08,132746
2015-02-23,140707
2015-02-16,141291
2015-02-02,142988
2014-07-28,145072
2023-07-17,17196
2026-08-03,17233
2022-05-09,19189
2022-05-09,19287
2022-05-16,19486
2023-02-20,19643
2022-05-09,19788
2026-05-25,23268
2021-12-27,26605
2020-09-07,42898
2023-02-20,47837
2026-06-22,54694
2019-07-29,64330
2019-11-04,72531
2017-10-16,84450
2017-10-16,84524
2026-06-22,89864
2026-06-22,91245
2026-06-22,92624
2016-10-10,104949
2016-10-10,106035
2016-08-08,108948
2016-08-08,119577
2016-02-15,121012
2016-08-08,121228
2016-02-08,123558
2019-11-04,128417
2026-07-27,129929
2016-10-10,140100
2015-02-09,141805
2015-02-02,142705
2015-02-02,142917
2015-02-02,143489
2015-02-16,143608
2016-08-08,109081
2016-08-08,109110
2016-08-08,109543
2016-02-15,121320
2016-02-15,121404
2016-02-08,122198
2015-02-16,141374
2015-02-16,141608
2014-07-28,144782
2015-02-09,145740
2026-06-22,1858
2026-07-27,322
2026-07-27,597
2026-06-15,1819
2026-07-27,3529
2026-06-22,4485
2024-09-02,8495
2023-02-13,15399
2022-10-31,16096
2022-10-31,17424
2023-02-13,18111
2022-05-16,20858
2026-08-03,23038
2022-10-31,23768
2023-02-20,25659
2023-07-17,27639
2026-07-27,30483
2020-09-07,43201
2020-09-07,44955
2020-09-21,45548
2019-10-21,59465
2019-01-28,68358
2019-01-28,68479
2023-02-13,70771
2023-02-20,75277
2023-07-17,80079
2017-10-16,84601
2019-11-04,101534
2016-08-08,109003
2016-02-08,122482
2019-11-04,129325
2019-11-04,132803
2015-02-23,140823
2015-02-16,141245
2015-02-02,143709
2014-06-09,145316
2026-06-08,1196
2026-07-27,4049
2025-04-07,5586
2023-02-20,13924
2026-07-20,14229
2023-01-30,14250
2022-10-31,16286
2026-06-22,865
2026-06-22,891
2026-06-15,3938
2026-06-22,4397
2025-04-07,5617
2025-04-21,7728
2024-01-01,9285
2025-04-07,10577
2025-04-21,11364
2022-12-26,14362
2023-02-13,14899
2022-10-31,16033
2023-02-20,16138
2026-08-03,18759
2022-10-31,18890
2023-02-20,30532
2020-09-21,41557
2020-09-07,42598
2020-09-21,45841
2020-09-07,51237
2026-07-27,679
2026-06-22,958
2026-08-03,1311
2026-05-04,1549
2026-05-04,1639
2026-06-22,4191
2025-04-21,5305
2025-04-21,5471
2024-12-30,6886
2025-04-07,8067
2025-04-07,8112
2024-06-24,8921
2024-01-01,9595
2022-12-26,14753
2022-10-31,15838
2021-12-27,24824
2020-09-07,42566
2019-10-07,59881
2026-08-03,62215
2023-02-20,66158
2019-02-11,68064
2019-10-21,72890
2026-06-22,73911
2018-06-25,75252
2023-07-17,79498
2023-07-17,79519
2023-07-17,80190
2023-02-20,92372
2026-07-27,94419
2026-07-27,352
2026-07-27,712
2026-06-22,1752
2026-05-04,4081
2026-06-22,4136
2026-06-22,4650
2025-04-07,6457
2024-09-02,8287
2026-06-22,10147
2025-04-21,11581
2023-02-13,15113
2023-02-20,15447
2022-05-16,20532
2023-04-24,21981
2026-07-27,22735
2021-11-22,25445
2022-10-31,27236
2023-02-20,39095
2026-07-27,39145
2020-09-21,41470
2020-09-21,41902
2020-09-07,43618
2023-02-20,43898
2026-07-20,45208
2026-08-03,49570
2023-02-20,54999
2019-10-21,58186
2019-10-07,59640
2019-11-04,59767
2018-06-25,77101
2016-10-10,105118
2016-08-08,108974
2019-11-04,110143
2016-02-15,128949
2015-02-09,141843
2015-02-09,142062
2015-02-02,142391
2015-02-02,143758
2014-08-25,144158
2015-02-16,145760
2016-02-15,140524
2015-02-23,140988
2015-02-23,141202
2015-02-16,143342
2015-02-02,143548
2014-06-09,146083
2026-06-22,1504
2026-07-27,1906
2025-04-21,5355
2025-04-07,5848
2026-06-22,8035
2024-01-01,9360
2023-04-24,12427
2026-07-20,12516
2023-04-24,13064
2023-02-20,13615
2023-02-13,13983
2022-12-26,14720
2022-10-31,15674
2022-05-16,19021
2022-12-26,21140
2022-05-09,22982
2021-12-27,23298
2021-12-27,23348
2021-12-27,23508
2023-02-20,24541
2021-11-22,25601
2021-12-27,27419
2020-09-21,41628
2020-09-07,42169
2020-09-07,42480
2020-09-07,43142
2020-09-07,43364
2026-06-22,43434
2020-09-21,46851
2026-08-03,47780
2019-11-04,57491
2019-10-21,58701
2026-08-03,292
2026-06-15,1262
2026-06-22,4577
2025-04-21,5380
2025-04-07,6531
2024-12-30,6629
2026-07-20,8989
2024-01-01,9807
2024-01-01,10734
2023-07-17,12901
2025-04-07,13224
2022-12-26,14334
2022-12-26,14816
2023-02-13,14983
2022-10-31,16791
2022-05-09,21602
2021-12-27,23367
2021-11-22,25083
2021-11-22,25223
2021-11-22,25308
2026-07-20,25800
2023-02-20,40467
2019-10-21,60246
2019-07-29,63389
2026-07-27,66097
2019-02-11,67950
2019-01-28,68294
2026-07-27,69381
2026-07-06,70601
2019-10-07,74035
2018-06-25,74098
2018-06-25,74513
2023-02-20,79096
2026-06-22,1076
2025-04-07,6504
2025-04-07,6558
2024-12-30,7389
2024-01-01,10609
2026-07-20,12474
2023-02-13,13783
2023-02-13,14301
2023-02-20,18843
2022-10-31,19708
2022-05-09,21011
2021-11-22,25246
2023-02-13,26000
2022-05-16,28573
2026-06-22,29095
2026-08-03,30513
2026-07-27,36438
2020-09-21,41675
2020-09-07,42440
2020-09-21,46808
2023-02-20,48521
2019-10-21,58242
2019-11-04,58275
2019-11-04,58303
2019-07-29,63655
2019-06-10,64750
2020-09-21,65720
2019-01-28,68322
2019-01-28,68806
2026-07-27,72047
2018-06-25,74142
2023-02-13,76205
2019-02-11,79064
2023-07-17,80215
2015-02-02,142281
2015-02-09,142362
2014-08-25,143811
2014-08-25,144721
2014-06-09,145388
2026-06-15,3343
2026-06-22,4441
2026-07-20,4772
2026-07-20,4796
2024-01-01,9391
2024-01-01,12692
2023-04-24,12845
2022-12-26,14687
2023-07-17,16735
2023-02-20,17329
2024-09-02,22572
2022-05-09,22916
2023-02-20,24374
2026-07-27,25421
2021-12-27,26703
2023-02-20,26761
2021-11-22,31993
