issue_id,category,commit_count
1002,docs,1
10170,other,3
1031,tech_debt,1
104047,bug_fixes,1
104092,other,1
104119,other,1
104278,bug_fixes,2
104278,tech_debt,1
104332,bug_fixes,1
104374,other,5
104442,other,1
104474,bug_fixes,1
104474,other,1
104511,other,1
104542,other,2
104578,other,1
104602,other,1
104625,other,1
104669,other,1
104800,feature_work,3
104914,other,1
104952,tech_debt,1
10499,bug_fixes,1
10499,other,3
105094,other,1
105121,other,2
105173,other,2
105588,tech_debt,1
105617,docs,1
105617,feature_work,1
105617,other,5
105754,bug_fixes,10
105754,docs,2
105754,feature_work,2
105754,other,1
105754,tech_debt,2
10580,tech_debt,1
106085,other,2
106387,other,1
10694,other,3
1086,bug_fixes,1
1086,other,6
108928,docs,1
108954,tech_debt,1
108980,tech_debt,1
109009,tech_debt,1
109035,tech_debt,1
109058,tech_debt,1
109087,tech_debt,1
109116,docs,1
109116,feature_work,1
109116,other,1
109212,tech_debt,2
109246,feature_work,2
109292,feature_work,1
109385,tech_debt,1
109417,bug_fixes,1
109417,feature_work,2
109417,other,8
10959,tech_debt,1
11171,other,1
11171,tech_debt,1
11231,bug_fixes,1
11231,tech_debt,2
1165,bug_fixes,1
11686,bug_fixes,1
11686,other,3
11800,other,1
11800,tech_debt,1
12022,tech_debt,1
12049,tech_debt,1
1207,other,1
12095,bug_fixes,1
121073,other,1
121231,other,1
121290,other,1
121326,other,1
121458,other,2
121495,other,70
122097,other,2
122148,other,4
122284,other,1
122335,other,3
122421,other,3
122461,other,1
122485,other,3
122530,other,3
122587,other,2
122654,tech_debt,1
122677,other,1
123032,other,20
12358,other,3
1237,other,1
123730,other,11
12407,tech_debt,1
12519,docs,1
12519,other,4
12649,tech_debt,1
1265,other,1
12698,bug_fixes,2
12698,other,4
12698,tech_debt,5
12954,bug_fixes,2
12954,other,3
12954,tech_debt,2
13114,other,5
1314,bug_fixes,1
13281,tech_debt,1
13327,bug_fixes,1
13327,other,1
1349,bug_fixes,1
13726,tech_debt,1
13966,tech_debt,1
140673,bug_fixes,1
140722,other,1
140763,other,1
140916,other,6
141003,other,2
141076,other,2
141228,other,1
141260,other,2
141337,other,1
141384,other,3
141544,other,1
141577,other,2
141782,other,1
141820,other,1
141873,other,8
142068,other,3
142130,other,1
142172,other,4
142243,other,1
142287,other,2
142368,other,1
142397,other,2
14253,tech_debt,1
142682,other,1
142714,other,1
142743,other,1
142775,other,1
142847,other,3
14314,tech_debt,1
14337,feature_work,1
14337,tech_debt,1
143436,other,1
143783,other,1
14405,bug_fixes,1
14405,feature_work,1
14405,other,8
14405,tech_debt,2
144246,other,1
144372,other,2
144698,other,1
144867,other,1
145017,other,4
145285,other,2
145356,other,1
145471,other,1
14664,tech_debt,1
1468,tech_debt,1
14697,tech_debt,1
14730,tech_debt,1
14763,tech_debt,1
14796,other,1
14826,other,1
14902,feature_work,1
14902,other,3
15126,bug_fixes,2
15126,other,1
15126,tech_debt,2
1514,bug_fixes,1
1552,bug_fixes,1
15527,other,1
15527,tech_debt,1
15641,tech_debt,1
15713,tech_debt,1
15740,tech_debt,1
