week_start,object_id
2026-06-22,83925
2017-10-16,84287
2026-07-27,85872
2026-07-27,94866
2020-09-07,96457
2026-07-20,104147
2016-10-10,105588
2019-01-28,111181
2016-08-08,119719
2016-02-15,122097
2015-02-23,141003
2015-02-16,141306
2015-02-02,142068
2015-02-02,142172
2015-02-02,142930
2019-11-04,144589
2014-07-28,144830
2015-02-23,145608
2020-09-21,92905
2016-10-10,104119
2019-11-04,106744
2019-11-04,109176
2016-08-08,111927
2019-11-04,114553
2016-02-15,121326
2016-02-08,122335
2016-02-15,127399
2015-02-23,140534
2019-07-29,63768
2019-02-11,67859
2019-01-28,68067
2019-01-28,73197
2018-06-25,74145
2018-06-25,74529
2018-06-25,77194
2018-06-25,77444
2024-10-14,78797
2017-10-16,84371
2020-09-21,97142
2020-09-21,97183
2020-09-21,97890
2019-11-04,102840
2016-10-10,104542
2025-09-01,109884
2016-08-08,117975
2016-02-15,123298
2019-11-04,135252
2026-05-25,1314
2026-06-08,2097
2026-06-22,7097
2024-01-01,9970
2024-01-01,10959
2023-04-24,12095
2026-07-20,13227
2023-02-20,13281
2023-01-30,13811
2025-04-07,14405
2023-02-13,16882
2023-02-13,17631
2022-05-09,19516
2023-02-20,20649
2021-12-27,24144
2021-11-22,25086
2026-07-27,30921
2023-02-20,35484
2026-06-22,36186
2020-09-21,41690
2020-09-21,46594
2017-10-16,84762
2016-10-10,104474
2016-10-10,104578
2016-10-10,104800
2016-10-10,105617
2016-10-10,106085
2016-08-08,109009
2016-10-10,112177
2016-08-08,113585
2016-02-08,125342
2016-02-08,132709
2015-02-23,140673
2015-02-16,141260
2015-02-02,142961
2014-07-28,145017
2023-07-17,17169
2026-08-03,17199
2022-05-09,19139
2022-05-09,19267
2022-05-16,19380
2023-02-20,19605
2022-05-09,19754
2026-05-25,23149
2021-12-27,26540
2020-09-07,42865
2023-02-20,47783
2026-06-22,54666
2019-07-29,64285
2019-11-04,72514
2017-10-16,84412
2017-10-16,84512
2026-06-22,89768
2026-06-22,91224
2026-06-22,92594
2016-10-10,104914
2016-10-10,105754
2016-08-08,108928
2016-08-08,119539
2016-02-15,120984
2016-08-08,121184
2016-02-08,123529
2019-11-04,128374
2026-07-27,129892
2016-10-10,139898
2015-02-09,141782
2015-02-02,142682
2015-02-02,142847
2015-02-02,143436
2015-02-16,143584
2016-08-08,109058
2016-08-08,109087
2016-08-08,109417
2016-02-15,121290
2016-02-15,121359
2016-02-08,122148
2015-02-16,141337
2015-02-16,141577
2014-07-28,144753
2015-02-09,145654
2026-06-22,1822
2026-07-27,295
2026-07-27,572
2026-06-15,1788
2026-07-27,3394
2026-06-22,4447
2024-09-02,8475
2023-02-13,15360
2022-10-31,16076
2022-10-31,17375
2023-02-13,17955
2022-05-16,20809
2026-08-03,23003
2022-10-31,23728
2023-02-20,25604
2023-07-17,27623
2026-07-27,30462
2020-09-07,43178
2020-09-07,44833
2020-09-21,45506
2019-10-21,59449
2019-01-28,68325
2019-01-28,68419
2023-02-13,70705
2023-02-20,75255
2023-07-17,80061
2017-10-16,84565
2019-11-04,101503
2016-08-08,108980
2016-02-08,122461
2019-11-04,129044
2019-11-04,132749
2015-02-23,140763
2015-02-16,141228
2015-02-02,143681
2014-06-09,145285
2026-06-08,1165
2026-07-27,3941
2025-04-07,5566
2023-02-20,13864
2026-07-20,14120
2023-01-30,14232
2022-10-31,16259
2026-06-22,834
2026-06-22,871
2026-06-15,3905
2026-06-22,4359
2025-04-07,5589
2025-04-21,7441
2024-01-01,9132
2025-04-07,10499
2025-04-21,11231
2022-12-26,14337
2023-02-13,14877
2022-10-31,16004
2023-02-20,16106
2026-08-03,18709
2022-10-31,18846
2023-02-20,30516
2020-09-21,41530
2020-09-07,42581
2020-09-21,45777
2020-09-07,51044
2026-07-27,648
2026-06-22,894
2026-08-03,1265
2026-05-04,1514
2026-05-04,1614
2026-06-22,4139
2025-04-21,5274
2025-04-21,5386
2024-12-30,6867
2025-04-07,8038
2025-04-07,8077
2024-06-24,8816
2024-01-01,9564
2022-12-26,14730
2022-10-31,15740
2021-12-27,24775
2020-09-07,42546
2019-10-07,59852
2026-08-03,62193
2023-02-20,66100
2019-02-11,68037
2019-10-21,72870
2026-06-22,73890
2018-06-25,75232
2023-07-17,79480
2023-07-17,79501
2023-07-17,80174
2023-02-20,92335
2026-07-27,94395
2026-07-27,325
2026-07-27,682
2026-06-22,1718
2026-05-04,4058
2026-06-22,4087
2026-06-22,4583
2025-04-07,5886
2024-09-02,8265
2026-06-22,10126
2025-04-21,11534
2023-02-13,15097
2023-02-20,15412
2022-05-16,20439
2023-04-24,21938
2026-07-27,22700
2021-11-22,25424
2022-10-31,27187
2023-02-20,39071
2026-07-27,39098
2020-09-21,41447
