week_start,anomaly_direction,anomaly_score,commit_event_count,cm_total,cm_breaking_count,cm_feat_count,cm_fix_count,cm_chore_count,cm_docs_count,cm_style_count,cm_refactor_count,cm_test_count,cm_build_count,cm_ci_count,cm_perf_count,cm_revert_count,cm_bump_count,cm_wip_count,cm_other_count,cat_feature_work_count,cat_bug_fixes_count,cat_tech_debt_count,cat_docs_count,cat_other_count,cat_feature_work_ratio,cat_bug_fixes_ratio,cat_tech_debt_ratio,cat_docs_ratio,cat_other_ratio,dominant_category,dominant_type,top_scopes
2014-06-09,high,1.5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0.0,0.0,0.0,0.0,1.0,other,other,[]
2014-07-28,high,0.5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0.0,0.0,0.0,0.0,1.0,other,other,[]
2014-08-25,high,0.7857142857142857,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0.0,0.0,0.0,0.0,1.0,other,other,[]
2015-02-02,high,10.0,22,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,19,0.0,0.0,0.0,0.0,1.0,other,other,[]
2015-02-09,high,1.0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,0.0,0.0,0.0,0.0,1.0,other,other,[]
2015-02-16,high,1.8636363636363635,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0.0,0.0,0.0,0.0,1.0,other,other,[]
2015-02-23,high,1.8333333333333333,13,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,0,12,0.0,0.07692307692307693,0.0,0.0,0.9230769230769231,other,other,[]
2016-02-08,high,1.3,53,48,0,0,0,1,0,0,0,0,0,0,0,0,0,0,47,0,0,1,0,47,0.0,0.0,0.020833333333333332,0.0,0.9791666666666666,other,other,['package']
2016-02-15,high,0.6052631578947368,78,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,70,0.0,0.0,0.0,0.0,1.0,other,other,[]
2016-08-08,high,0.35714285714285715,27,26,0,6,1,6,2,0,0,0,0,0,2,0,0,0,9,6,1,8,2,9,0.23076923076923078,0.038461538461538464,0.3076923076923077,0.07692307692307693,0.34615384615384615,other,other,['package']
2016-10-10,high,0.5571428571428572,60,59,0,6,15,4,3,0,0,0,0,0,1,0,0,0,30,6,15,5,3,30,0.1016949152542373,0.2542372881355932,0.0847457627118644,0.05084745762711865,0.5084745762711864,other,other,"['command', 'package', 'parse']"
