log_name,n_cases,variant_entropy,normalized_variant_entropy,sequence_entropy,normalized_sequence_entropy,magnitude,variety,affinity,status,error
anomaly_bug_fixes,36,952.3893360455659,0.47563780474678696,1286.4840945592025,0.44597847596755946,469,16,0.2052909742396982,ok,
anomaly_docs,12,86.10708733036428,0.5026688955760572,124.8496493093042,0.3793257202566214,76,12,0.34359478904933466,ok,
anomaly_feature_work,9,321.6574580006644,0.4146723142106283,344.9503611562957,0.4007202172999645,168,12,0.29478951725454716,ok,
anomaly_other,599,35135.10360826253,0.6500156499240722,49283.453106000714,0.5973696838536947,9055,30,0.15347208480128155,ok,
anomaly_tech_debt,96,1821.9893191248593,0.5988551607199347,3227.4154077631824,0.5179197444945401,914,17,0.16893819549774525,ok,
normal_bug_fixes,90,2705.3835224369145,0.6038557118130586,3908.7477890576906,0.5276467212100238,1063,20,0.19740947133085648,ok,
normal_docs,34,400.0795414079345,0.5637410072775534,680.0906430007637,0.4274563399375907,282,14,0.3345414154993055,ok,
normal_feature_work,25,952.600861509377,0.4925263546324496,1172.230941943485,0.464648972121982,418,15,0.2285724674380685,ok,
normal_other,1293,78793.47889792206,0.6809655918568491,115983.00165714663,0.6110524322941465,19241,32,0.14891490882453606,ok,
normal_tech_debt,139,3121.401829502464,0.6000492731184119,5218.947964155425,0.5283153187445365,1368,16,0.21015844276106554,ok,
