issue_id,category,commit_count
1002,docs,1
10048,other,1
100528,other,3
100797,other,1
100871,feature_work,1
101537,feature_work,1
10170,other,3
101722,other,1
101767,bug_fixes,2
101920,tech_debt,1
101949,tech_debt,1
102171,tech_debt,1
102197,tech_debt,1
102230,tech_debt,1
102260,tech_debt,1
102300,tech_debt,1
102387,feature_work,1
102468,other,11
10258,tech_debt,1
102697,tech_debt,1
102814,tech_debt,1
103026,tech_debt,1
103082,other,1
1031,tech_debt,1
103119,other,1
103146,other,3
10339,other,1
103605,tech_debt,1
103744,docs,1
103774,bug_fixes,1
103809,other,1
103837,bug_fixes,2
103935,other,1
104047,bug_fixes,1
104092,other,1
104119,other,1
104332,bug_fixes,1
104374,other,5
104442,other,1
104511,other,1
104542,other,2
104578,other,1
104602,other,1
104625,other,1
104669,other,1
104800,feature_work,3
104914,other,1
104952,tech_debt,1
105094,other,1
105121,other,2
105173,other,2
105588,tech_debt,1
10580,tech_debt,1
106085,other,2
106266,tech_debt,1
106292,tech_debt,1
106318,bug_fixes,1
106387,other,1
106445,tech_debt,1
106474,tech_debt,1
106500,tech_debt,1
106526,tech_debt,1
106555,tech_debt,1
106691,tech_debt,1
10694,other,3
106970,other,1
107155,other,2
107423,tech_debt,1
107529,other,3
107704,other,2
107778,other,3
108027,tech_debt,1
108131,docs,1
10814,feature_work,2
108322,tech_debt,3
108466,other,1
108670,tech_debt,5
108841,other,1
108899,tech_debt,1
108928,docs,1
108954,tech_debt,1
108980,tech_debt,1
109009,tech_debt,1
109035,tech_debt,1
109058,tech_debt,1
109087,tech_debt,1
109212,tech_debt,2
109246,feature_work,2
109292,feature_work,1
109385,tech_debt,1
10959,tech_debt,1
109606,bug_fixes,1
109737,tech_debt,1
109855,tech_debt,1
110258,other,1
110660,tech_debt,1
110695,bug_fixes,1
110721,bug_fixes,1
11078,bug_fixes,1
111092,bug_fixes,1
111132,tech_debt,2
111378,bug_fixes,1
111458,bug_fixes,1
111502,feature_work,1
111535,bug_fixes,1
111599,tech_debt,1
111632,feature_work,1
112147,bug_fixes,1
112447,other,1
112962,feature_work,1
112996,other,3
113124,bug_fixes,1
113684,tech_debt,1
113732,tech_debt,1
113982,bug_fixes,1
114018,other,1
114318,tech_debt,1
114351,tech_debt,1
114428,other,1
114628,tech_debt,1
114799,tech_debt,1
115194,tech_debt,1
115463,tech_debt,1
115535,tech_debt,1
115565,tech_debt,1
115634,other,1
115863,other,1
115909,other,2
115971,docs,1
116012,feature_work,1
116052,feature_work,1
116121,bug_fixes,1
116189,docs,1
116220,feature_work,1
116250,bug_fixes,1
116292,docs,1
116357,feature_work,1
1165,bug_fixes,1
116532,bug_fixes,1
11656,docs,1
117119,other,1
117187,other,2
117249,other,1
117299,other,5
117371,other,3
117427,other,1
117512,other,2
117598,other,2
117789,other,1
117935,other,1
118,other,1
118003,other,1
118121,other,7
118282,other,6
11835,tech_debt,1
118418,other,1
118508,other,1
118601,other,1
118706,other,3
119017,other,2
119061,other,1
119123,other,1
119178,other,2
119215,other,1
119386,other,1
119583,other,1
119682,other,1
119760,other,1
119794,other,1
119823,other,1
119852,other,1
119913,other,1
119940,other,1
119996,other,2
120050,other,1
120079,other,1
120119,other,1
120210,other,2
12022,tech_debt,1
120290,other,1
120321,other,1
120354,other,1
12049,tech_debt,1
1207,other,1
120870,other,2
120912,other,6
12095,bug_fixes,1
121073,other,1
121231,other,1
121290,other,1
121326,other,1
121458,other,2
121495,other,70
122097,other,2
122148,other,4
122284,other,1
122335,other,3
122421,other,3
122461,other,1
122485,other,3
122530,other,3
122587,other,2
122654,tech_debt,1
122677,other,1
122963,tech_debt,1
122986,tech_debt,1
123009,tech_debt,1
123032,other,20
123369,tech_debt,1
123395,tech_debt,1
123418,other,1
12358,other,3
123672,tech_debt,1
1237,other,1
123701,tech_debt,1
123730,other,11
123921,other,7
124026,other,1
124055,other,2
12407,tech_debt,1
124366,other,1
124428,other,2
124541,other,1
124667,other,3
124772,other,4
124855,other,1
124915,other,2
124965,other,1
125019,other,1
125061,other,2
125530,other,3
125611,other,1
125943,other,1
