variant,count
"('committed', 'created', 'labeled', 'labeled', 'commented', 'ready_for_review', 'review_requested', 'review_requested', 'review_requested', 'reviewed', 'merged', 'closed')",3
"('committed', 'created', 'closed', 'merged')",3
"('created', 'labeled', 'commented', 'head_ref_force_pushed', 'committed', 'head_ref_force_pushed', 'commented', 'closed', 'head_ref_deleted')",2
"('committed', 'created', 'review_requested', 'review_requested', 'review_requested', 'labeled', 'labeled', 'labeled', 'commented', 'reviewed', 'closed', 'merged', 'head_ref_deleted')",2
"('labeled', 'created', 'closed', 'commented')",2
"('committed', 'committed', 'created', 'closed', 'merged', 'head_ref_deleted')",2
"('committed', 'committed', 'created', 'commented', 'merged', 'closed')",1
"('committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'created', 'commented', 'commented', 'merged', 'closed', 'head_ref_deleted', 'cross-referenced')",1
"('labeled', 'created', 'commented', 'mentioned', 'subscribed', 'closed')",1
"('labeled', 'created', 'commented', 'mentioned', 'subscribed', 'commented', 'labeled', 'commented', 'commented', 'unlabeled', 'labeled', 'closed', 'commented', 'cross-referenced')",1
"('labeled', 'created', 'commented', 'subscribed', 'mentioned', 'commented', 'commented', 'commented', 'commented', 'commented', 'commented', 'mentioned', 'subscribed', 'labeled', 'commented', 'commented', 'commented', 'subscribed', 'mentioned', 'cross-referenced', 'mentioned', 'subscribed', 'commented', 'commented', 'cross-referenced', 'cross-referenced', 'unlabeled', 'commented', 'labeled', 'commented', 'cross-referenced', 'closed')",1
"('labeled', 'created', 'commented', 'subscribed', 'mentioned', 'subscribed', 'mentioned', 'commented', 'commented', 'subscribed', 'mentioned', 'subscribed', 'mentioned', 'commented', 'commented', 'mentioned', 'commented', 'subscribed', 'closed', 'commented')",1
"('labeled', 'created', 'cross-referenced', 'commented', 'subscribed', 'mentioned', 'mentioned', 'subscribed', 'commented', 'commented', 'cross-referenced', 'commented', 'commented', 'commented', 'mentioned', 'subscribed', 'cross-referenced', 'subscribed', 'mentioned', 'commented', 'labeled', 'commented', 'commented', 'closed')",1
"('labeled', 'created', 'cross-referenced', 'labeled', 'commented', 'closed')",1
"('labeled', 'created', 'labeled', 'commented', 'closed')",1
"('labeled', 'created', 'labeled', 'commented', 'commented', 'commented', 'commented', 'commented', 'cross-referenced', 'subscribed', 'cross-referenced', 'closed')",1
