variant,count
"('committed', 'created', 'review_requested', 'labeled', 'review_requested', 'review_requested', 'labeled', 'reviewed', 'merged', 'closed', 'head_ref_deleted')",64
"('committed', 'created', 'labeled', 'review_requested', 'review_requested', 'review_requested', 'labeled', 'reviewed', 'merged', 'closed', 'head_ref_deleted')",43
"('created', 'labeled', 'commented', 'closed')",19
"('committed', 'created', 'commented', 'merged', 'closed', 'head_ref_deleted')",19
"('committed', 'created', 'commented', 'labeled', 'commented', 'reviewed', 'merged', 'closed', 'head_ref_deleted')",16
"('committed', 'created', 'review_requested', 'review_requested', 'review_requested', 'labeled', 'labeled', 'reviewed', 'merged', 'closed', 'head_ref_deleted')",12
"('created', 'commented', 'closed')",12
"('committed', 'created', 'review_requested', 'review_requested', 'labeled', 'review_requested', 'labeled', 'reviewed', 'merged', 'closed', 'head_ref_deleted')",11
"('committed', 'created', 'review_requested', 'review_requested', 'review_requested', 'labeled', 'commented', 'reviewed', 'merged', 'closed', 'head_ref_deleted')",11
"('committed', 'created', 'commented', 'review_requested', 'review_requested', 'review_requested', 'labeled', 'reviewed', 'merged', 'closed', 'head_ref_deleted')",11
"('committed', 'created', 'commented', 'labeled', 'commented', 'merged', 'closed', 'head_ref_deleted')",10
"('committed', 'created', 'review_requested', 'review_requested', 'review_requested', 'labeled', 'labeled', 'commented', 'reviewed', 'merged', 'closed', 'head_ref_deleted')",10
"('created', 'committed', 'review_requested', 'labeled', 'review_requested', 'review_requested', 'labeled', 'reviewed', 'merged', 'closed', 'head_ref_deleted')",9
"('committed', 'created', 'commented', 'review_requested', 'review_requested', 'review_requested', 'labeled', 'commented', 'reviewed', 'merged', 'closed', 'head_ref_deleted')",9
"('committed', 'created', 'merged', 'closed', 'head_ref_deleted')",9
"('created', 'committed', 'commented', 'review_requested', 'review_requested', 'review_requested', 'labeled', 'reviewed', 'merged', 'closed', 'head_ref_deleted')",8
"('created', 'committed', 'labeled', 'review_requested', 'review_requested', 'review_requested', 'labeled', 'reviewed', 'merged', 'closed', 'head_ref_deleted')",8
"('created', 'labeled', 'cross_referenced', 'closed')",8
"('committed', 'created', 'commented', 'labeled', 'commented', 'commented', 'closed', 'head_ref_deleted')",7
"('committed', 'created', 'commented', 'merged', 'closed', 'commented')",6
"('committed', 'created', 'review_requested', 'review_requested', 'review_requested', 'labeled', 'labeled', 'commented', 'reviewed', 'merged', 'closed')",6
"('committed', 'created', 'commented', 'commented', 'merged', 'closed', 'head_ref_deleted')",6
"('committed', 'created', 'commented', 'cross_referenced', 'labeled', 'commented', 'reviewed', 'merged', 'closed', 'head_ref_deleted')",6
"('committed', 'created', 'mentioned', 'labeled', 'commented', 'merged', 'closed', 'head_ref_deleted')",6
"('created', 'labeled', 'commented', 'commented', 'closed')",6
"('committed', 'created', 'labeled', 'commented', 'merged', 'closed', 'head_ref_deleted')",6
"('committed', 'created', 'review_requested', 'commented', 'merged', 'closed', 'head_ref_deleted')",6
"('committed', 'committed', 'created', 'merged', 'closed', 'head_ref_deleted')",6
"('created', 'commented', 'commented', 'closed')",5
"('committed', 'created', 'labeled', 'review_requested', 'review_requested', 'review_requested', 'labeled', 'labeled', 'reviewed', 'merged', 'closed', 'head_ref_deleted')",5
"('created', 'labeled', 'commented', 'closed', 'commented')",5
"('committed', 'created', 'commented', 'review_requested', 'review_requested', 'review_requested', 'labeled', 'reviewed', 'merged', 'closed', 'head_ref_deleted', 'cross_referenced')",5
"('created', 'review_requested', 'labeled', 'review_requested', 'review_requested', 'labeled', 'commented', 'mentioned', 'committed', 'head_ref_force_pushed', 'reviewed', 'merged', 'closed', 'head_ref_deleted')",5
"('committed', 'created', 'review_requested', 'commented', 'reviewed', 'merged', 'closed', 'head_ref_deleted')",5
"('committed', 'committed', 'created', 'commented', 'merged', 'closed', 'head_ref_deleted')",4
"('committed', 'created', 'labeled', 'labeled', 'commented', 'ready_for_review', 'review_requested', 'review_requested', 'review_requested', 'reviewed', 'merged', 'closed')",4
"('committed', 'created', 'commented', 'reviewed', 'merged', 'closed', 'head_ref_deleted')",4
"('created', 'labeled', 'labeled', 'commented', 'closed')",4
"('committed', 'created', 'commented', 'merged', 'closed')",4
"('created', 'commented', 'labeled', 'commented', 'committed', 'head_ref_force_pushed', 'reviewed', 'merged', 'closed', 'head_ref_deleted')",4
"('created', 'committed', 'commented', 'labeled', 'commented', 'reviewed', 'merged', 'closed', 'head_ref_deleted')",4
"('committed', 'created', 'commented', 'reviewed', 'merged', 'closed')",4
"('committed', 'created', 'commented', 'cross_referenced', 'review_requested', 'labeled', 'commented', 'commented', 'closed', 'head_ref_deleted')",4
"('committed', 'created', 'review_requested', 'review_requested', 'review_requested', 'commented', 'labeled', 'commented', 'reviewed', 'merged', 'closed', 'head_ref_deleted')",4
"('committed', 'created', 'commented', 'cross_referenced', 'labeled', 'commented', 'merged', 'closed', 'head_ref_deleted')",3
